ID_HECHOS_LESIONES,N_VICTIMAS,AAAA,FECHA,HORA,comuna,tipo_calle,geocodificacion_CABA,longitud,latutid,victima,acusado,participantes,gravedad
LC-2021-0113536,1,2021,2021-03-12 00:00:00,15.0,8,,Point (99716.45791130418365356 94950.38308677727764007),-58.466394,-34.674789,PEATON,AUTO,PEATON-AUTO,GRAVE
LC-2021-0114379,2,2021,2021-03-12 00:00:00,0.0,,,,,,PEATON,MOTO,PEATON-MOTO,GRAVE
LC-2021-0116683,1,2021,2021-03-15 00:00:00,0.0,4,AVENIDA,Point (108609.786184677 98897.7680817159),-58.369395898982,-34.639170271555,PEATON,TRANSPORTE PUBLICO,PEATON-TRANSPORTE PUBLICO,GRAVE
LC-2021-0116824,1,2021,2021-03-15 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0118049,1,2021,2021-03-15 00:00:00,15.0,7,CALLE,Point (99527.0114276399 101044.115338479),-58.468457314653,-34.619857822777,MOTO,CAMIONETA,MOTO-CAMIONETA,GRAVE
LC-2021-0118684,6,2021,2021-03-15 00:00:00,17.0,1,CALLE,Point (107347.433951453 100719.779342537),-58.383179608380,-34.622755733579,CAMION,TRANSPORTE PUBLICO,CAMION-TRANSPORTE PUBLICO,GRAVE
LC-2021-0123309,3,2021,2021-03-18 00:00:00,3.0,13,AVENIDA,Point (98817.74986778 110096.313674954),-58.476178020985,-34.538256524689,,,SD-SD,GRAVE
LC-2021-0126528,1,2021,2021-03-19 00:00:00,15.0,11,CALLE,Point (94371.214260864 102884.217391213),-58.524664486774,-34.603254784733,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0128408,1,2021,2021-03-20 00:00:00,23.0,12,CALLE,Point (98599.9828325457 106627.448767395),-58.478556194214,-34.569526315624,PEATON,AUTO,PEATON-AUTO,GRAVE
LC-2021-0128446,1,2021,2021-03-21 00:00:00,0.0,15,CALLE,Point (99257.9193330222 105927.47305169),-58.471386947233,-34.575836946803,MOTO,,MOTO-SD,GRAVE
LC-2021-0129143,1,2021,2021-03-21 00:00:00,17.0,7,AVENIDA,Point (99615.6317294597 99306.931733437),-58.467491887068,-34.635517513682,PEATON,AUTO,PEATON-AUTO,GRAVE
LC-2021-0130067,1,2021,2021-03-22 00:00:00,10.0,4,CALLE,Point (103955.708765637 97162.9898863667),-58.420148337103,-34.65483645396,CICLISTA,OBJETO FIJO,CICLISTA-OBJETO FIJO,GRAVE
LC-2021-0130281,1,2021,2021-03-22 00:00:00,12.0,8,GRAL PAZ,Point (98520.0906318195 93208.6887692893),-58.479451119844,-34.690488073673,MOTO,CAMION,MOTO-CAMION,GRAVE
LC-2021-0133881,1,2021,2021-03-25 00:00:00,12.0,1,AVENIDA,Point (108602.897771037 103429.39485413),-58.369516695333,-34.598320475708,PEATON,CAMIONETA,PEATON-CAMIONETA,GRAVE
LC-2021-0136639,1,2021,2021-03-25 00:00:00,21.0,10,AVENIDA,Point (98397.3296608937 99545.417420312),-58.480778447991,-34.633366467580,PEATON,AUTO,PEATON-AUTO,GRAVE
