ID_HECHOS_FATALES,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,FECHA_FALLECIMIENTO
2016-0132,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2016-10-10 00:00:00
2016-0133,CONDUCTOR,MASCULINO,41,2016-10-25 00:00:00
2016-0134,CONDUCTOR,MASCULINO,25,2016-10-23 00:00:00
2016-0135,PEATON,MASCULINO,29,2016-10-25 00:00:00
2016-0136,CONDUCTOR,SD,SD,SD
2016-0137,CONDUCTOR,MASCULINO,30,SD
2016-0138,CICLISTA,FEMENINO,33,SD
2016-0139,PASAJERO_ACOMPAÑANTE,FEMENINO,35,SD
2016-0140,PASAJERO_ACOMPAÑANTE,MASCULINO,20,SD
2016-0142,CONDUCTOR,MASCULINO,46,2016-11-05 00:00:00
2016-0143,CONDUCTOR,MASCULINO,35,SD
2016-0144,PEATON,MASCULINO,83,SD
2016-0145,CONDUCTOR,MASCULINO,39,2016-11-07 00:00:00
2016-0146,PEATON,FEMENINO,29,SD
2016-0147,PASAJERO_ACOMPAÑANTE,MASCULINO,55,2016-11-16 00:00:00
2016-0148,CONDUCTOR,MASCULINO,SD,SD
2016-0150,PASAJERO_ACOMPAÑANTE,MASCULINO,41,2016-11-18 00:00:00
2016-0151,PEATON,SD,SD,SD
2016-0152,CONDUCTOR,MASCULINO,42,2016-11-24 00:00:00
2016-0153,PEATON,FEMENINO,83,2016-11-25 00:00:00
2016-0154,CONDUCTOR,MASCULINO,38,SD
2016-0155,PEATON,FEMENINO,29,SD
2016-0156,CONDUCTOR,MASCULINO,23,2016-11-30 00:00:00
2016-0157,CONDUCTOR,MASCULINO,23,SD
2016-0159,CONDUCTOR,MASCULINO,23,SD
2016-0160,CONDUCTOR,MASCULINO,29,2016-12-06 00:00:00
2016-0161,PEATON,MASCULINO,50,2016-12-06 00:00:00
2016-0162,PEATON,MASCULINO,38,2017-01-01 00:00:00
2016-0163,CONDUCTOR,MASCULINO,23,SD
2016-0164,CONDUCTOR,MASCULINO,29,SD
2016-0165,CICLISTA,MASCULINO,37,SD
2016-0168,CONDUCTOR,MASCULINO,43,2016-12-13 00:00:00
2016-0169,CONDUCTOR,MASCULINO,24,2016-12-16 00:00:00
2016-0170,PASAJERO_ACOMPAÑANTE,MASCULINO,21,2016-12-19 00:00:00
2016-0171,CONDUCTOR,SD,SD,SD
2016-0172,CONDUCTOR,MASCULINO,38,2016-12-26 00:00:00
2016-0173,CONDUCTOR,MASCULINO,35,SD
2016-0174,SD,SD,SD,SD
2016-0175,PEATON,FEMENINO,SD,SD
2016-0176,CONDUCTOR,MASCULINO,28,SD
2016-0177,PEATON,FEMENINO,27,SD
2016-0178,PEATON,FEMENINO,7,SD
2017-0001,CONDUCTOR,MASCULINO,18,2017-01-02 00:00:00
2017-0003,PASAJERO_ACOMPAÑANTE,MASCULINO,33,2017-01-05 00:00:00
2017-0007,PEATON,MASCULINO,48,2017-01-11 00:00:00
2017-0008,CONDUCTOR,MASCULINO,29,2017-01-16 00:00:00
2017-0009,CONDUCTOR,MASCULINO,36,2017-01-16 00:00:00
2017-0010,CONDUCTOR,MASCULINO,23,2017-01-16 00:00:00
2017-0011,PASAJERO_ACOMPAÑANTE,FEMENINO,29,2017-01-22 00:00:00
2017-0012,CONDUCTOR,MASCULINO,30,2017-01-24 00:00:00
2017-0013,PEATON,MASCULINO,4,2017-01-27 00:00:00
